[INFO] [5/6/2020 9:36:28 AM] Starting IMS...
[INFO] [5/6/2020 9:36:28 AM] IMS settings configuration loaded.
[INFO] [5/6/2020 9:36:28 AM] Attempting to find suitable UPnP router for port forwarding...
[WARNING] [5/6/2020 9:36:56 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:56 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:56 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:56 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:56 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:56 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:56 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:57 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:57 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:57 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:57 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:57 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:57 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:57 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:57 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:58 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:58 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:58 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:58 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:58 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:58 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:58 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:58 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:59 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:59 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:59 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:59 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:59 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:59 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:59 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:59 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:00 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:00 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:00 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:00 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:00 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:00 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:00 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:00 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:01 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:01 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:01 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:01 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:01 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:01 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:01 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:01 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:02 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:02 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:02 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:02 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:02 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:02 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:02 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:02 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:03 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:03 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:03 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:03 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:03 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:03 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:03 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:04 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:04 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:04 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:04 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:04 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:04 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:04 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:04 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:05 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:05 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:37:05 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
